Index,X,Y,Z
608,0.116821,-0.253342,-0.93306
609,0.14032,-0.20813,-0.932907
610,0.123611,-0.21759,-0.867905
611,0.149002,-0.221634,-0.949432
612,0.08873,-0.289322,-0.989899
613,0.050644,-0.346939,-1.052002
614,0.041199,-0.437515,-1.210312
615,0.001465,-0.300995,-1.083313
616,0.030258,-0.238617,-0.91008
617,0.098419,-0.163574,-0.894302
618,0.131256,-0.195724,-0.860016
619,0.130066,-0.199982,-0.875763
620,0.117859,-0.251083,-1.103333
621,0.087341,-0.279327,-1.04689
622,0.041122,-0.299393,-1.010071
623,0.073761,-0.206268,-0.958099
624,0.105804,-0.198837,-0.914474
625,0.12883,-0.199905,-0.897949
626,0.088272,-0.199707,-0.945145
627,0.069092,-0.241653,-0.908188
628,0.059097,-0.291702,-1.139954
629,0.077484,-0.342087,-1.067154
630,0.054596,-0.317093,-0.900604
631,0.073456,-0.274429,-0.861008
632,0.106873,-0.31427,-0.969543
633,0.059387,-0.391418,-0.883698
634,0.057404,-0.356949,-0.947556
635,0.067886,-0.354996,-0.952072
636,0.083527,-0.42514,-0.939514
637,0.068771,-0.426025,-0.95636
638,0.042404,-0.384842,-0.883438
639,0.039734,-0.407211,-0.942566
640,0.045044,-0.396454,-0.856964
641,0.047485,-0.41835,-0.904297
642,0.018997,-0.406784,-0.889297
643,0.0056,-0.431793,-0.933838
644,0.030426,-0.530029,-0.969788
645,0.019211,-0.48555,-0.955994
646,0.029282,-0.493118,-0.835495
647,0.016953,-0.40506,-0.825058
648,0.023315,-0.47113,-0.91922
649,-0.022675,-0.468811,-0.8871
650,-0.048386,-0.501633,-0.998001
651,-0.044754,-0.406158,-0.905106
652,-0.010086,-0.461716,-0.931564
653,-0.017883,-0.515274,-0.879822
654,-0.034714,-0.494186,-0.820786
655,0.008102,-0.458221,-0.856247
656,0.013535,-0.506058,-0.868195
657,-0.009293,-0.442062,-0.926468
658,-0.008484,-0.409485,-0.88176
659,-0.005753,-0.374329,-0.901566
660,-0.032425,-0.376373,-0.969727
661,-0.074921,-0.397797,-0.878799
662,-0.071381,-0.472794,-1.049561
663,-0.047165,-0.494598,-0.976776
664,-0.03093,-0.462997,-0.931259
665,-0.053024,-0.408035,-0.949875
666,-0.041168,-0.464783,-0.846512
667,-0.047287,-0.446777,-0.899429
668,-0.028305,-0.479095,-0.922714
669,-0.025787,-0.41301,-0.913971
670,-0.050064,-0.366806,-0.807175
671,-0.023041,-0.379456,-0.784958
672,-0.033859,-0.40538,-0.770325
673,-0.045471,-0.503036,-0.881149
674,-0.080124,-0.459259,-0.841537
675,-0.055176,-0.472641,-0.953995
676,-0.062225,-0.446915,-0.828476
677,-0.069214,-0.344559,-0.756058
678,-0.035736,-0.448456,-0.944229
679,0.001892,-0.484909,-0.770325
680,-0.021957,-0.345108,-0.800186
681,-0.06076,-0.398499,-0.971146
682,-0.06604,-0.505661,-0.930817
683,-0.037827,-0.448303,-1.004074
684,-0.054779,-0.425827,-0.913025
685,-0.072037,-0.443375,-0.866333
686,-0.074158,-0.481461,-0.929947
687,-0.076431,-0.475677,-0.850555
688,-0.056351,-0.532547,-0.92543
689,-0.039841,-0.454788,-0.754425
690,-0.01947,-0.49527,-0.800003
691,-0.020508,-0.556931,-0.901535
692,-0.013351,-0.541107,-0.805984
693,0.016922,-0.545853,-0.807404
694,0.037552,-0.502823,-0.771622
695,0.011383,-0.545013,-0.858047
696,-0.012283,-0.525665,-0.834473
697,0.01416,-0.547913,-0.84053
698,0.036819,-0.576828,-0.967728
699,0.025024,-0.522247,-0.724365
700,0.036163,-0.612839,-0.900345
701,0.040558,-0.615265,-0.8591
702,0.047379,-0.64415,-0.890198
703,0.061142,-0.647659,-0.894196
704,0.024597,-0.536255,-0.823441
705,0.040955,-0.468323,-0.684967
706,0.026138,-0.55426,-0.792603
707,0.083847,-0.588257,-0.861008
708,0.061676,-0.519943,-0.87117
709,0.052139,-0.477234,-0.780457
710,0.061707,-0.470596,-0.751892
711,0.040253,-0.514359,-0.89241
